year,month,day,prectotcorr,ps,t2m,t2m_max,t2m_min,rh2m,ws2m,wd2m,allsky_sfc_sw_dwn
2000,1,1,0.0,99.2,24.88,29.39,20.76,64.63,1.51,157.5,19.18
2000,1,2,0.0,99.23,24.72,29.69,20.63,62.27,1.17,81.2,20.32
2000,1,3,0.0,99.13,24.78,29.97,19.8,64.78,1.81,118.2,20.38
2000,1,4,0.0,99.1,25.4,30.14,20.71,65.59,1.32,108.8,19.58
2000,1,5,0.0,99.06,25.87,30.83,21.42,65.16,1.7,110.2,18.89
2000,1,6,0.0,99.05,26.05,31.35,21.53,67.96,1.65,76.6,20.6
2000,1,7,0.0,99.08,26.05,31.29,22.32,63.67,1.9,68.6,21.03
2000,1,8,0.0,99.05,25.87,31.2,21.41,66.67,1.89,61.8,20.53
2000,1,9,0.0,99.07,26.46,31.76,21.9,66.43,1.69,112.1,20.93
2000,1,10,0.01,99.03,26.88,31.23,23.15,72.05,1.21,247.8,20.83
2000,1,11,0.6,99.05,26.7,30.93,24.27,76.96,1.63,230.2,15.4
2000,1,12,2.84,99.13,25.89,28.88,23.92,71.43,1.27,320.2,9.26
2000,1,13,1.35,99.11,26.65,31.04,23.17,73.18,1.45,308.1,20.58
2000,1,14,0.4,99.05,26.98,31.23,23.83,75.56,1.65,286.7,18.92
2000,1,15,0.14,99.11,26.87,30.84,24.19,74.42,2.09,324.2,17.17
2000,1,16,0.03,99.09,27.4,32.42,23.3,67.91,1.5,317.0,20.86
2000,1,17,0.06,99.27,26.95,32.85,22.42,60.5,0.84,128.7,20.81
2000,1,18,0.0,99.37,26.39,32.44,20.93,55.26,1.27,93.3,21.87
2000,1,19,0.0,99.34,26.28,32.82,20.32,56.28,1.38,51.4,22.79
2000,1,20,0.0,99.24,25.95,32.42,20.02,59.64,1.69,273.4,22.81
2000,1,21,0.0,99.28,26.59,32.09,22.33,66.78,1.42,307.8,22.23
2000,1,22,0.0,99.3,26.38,32.59,21.11,62.08,1.76,325.6,20.92
2000,1,23,0.0,99.29,26.19,31.49,21.9,66.18,1.58,304.5,20.26
2000,1,24,0.0,99.3,25.97,31.42,21.42,65.78,1.63,309.5,22.05
2000,1,25,0.0,99.37,26.23,31.88,21.71,63.66,1.53,244.7,21.83
2000,1,26,0.0,99.38,25.72,31.2,21.05,61.94,1.48,338.3,21.27
2000,1,27,0.0,99.33,25.48,31.62,20.16,56.21,2.0,118.4,23.06
2000,1,28,0.0,99.29,26.23,32.42,21.05,56.53,1.24,62.5,23.1
2000,1,29,0.0,99.36,26.68,32.88,21.66,54.32,1.98,69.7,23.07
2000,1,30,0.0,99.41,26.52,33.25,20.44,55.09,1.53,53.3,23.16
2000,1,31,0.0,99.4,26.24,32.6,20.67,57.76,1.53,289.1,23.13
2000,2,1,0.01,99.29,25.77,31.53,20.41,62.14,1.91,231.4,21.85
2000,2,2,0.02,99.3,26.07,31.23,21.91,65.84,1.67,306.2,19.92
2000,2,3,0.0,99.36,26.44,32.97,21.28,61.37,2.07,337.8,19.15
2000,2,4,0.01,99.27,26.91,32.4,22.36,65.18,2.01,307.3,20.3
2000,2,5,0.0,99.18,27.05,32.22,23.17,69.0,2.58,323.6,21.69
2000,2,6,0.0,99.19,26.25,31.0,23.09,68.62,2.92,328.5,21.93
2000,2,7,0.11,99.17,25.29,30.5,21.38,68.58,2.45,322.0,21.9
2000,2,8,0.0,99.12,25.15,31.02,20.78,66.43,2.23,317.6,21.93
2000,2,9,0.01,99.22,25.56,30.46,22.01,67.5,1.96,301.7,22.04
2000,2,10,0.0,99.24,25.97,31.39,21.92,67.09,2.0,295.0,22.22
2000,2,11,0.0,99.26,25.81,29.84,22.93,70.61,2.01,287.6,20.2
2000,2,12,0.0,99.19,25.83,30.35,22.68,69.69,2.21,302.6,19.49
2000,2,13,0.01,99.07,26.25,31.28,22.54,68.01,2.23,312.2,21.68
2000,2,14,0.0,99.05,27.14,32.7,22.76,65.64,2.28,318.1,21.94
2000,2,15,0.0,99.11,27.55,33.51,22.99,57.82,1.76,255.4,22.89
2000,2,16,0.03,99.19,27.54,33.58,22.69,56.98,1.63,311.1,22.17
2000,2,17,0.0,99.04,27.63,33.72,22.6,57.44,2.13,319.5,22.15
2000,2,18,0.0,99.04,27.13,32.71,22.68,57.94,2.42,319.5,23.52
2000,2,19,0.0,99.06,26.33,31.84,22.41,63.15,2.24,313.5,22.32
2000,2,20,0.0,99.06,25.09,30.15,21.19,65.38,2.19,305.4,22.02
2000,2,21,0.0,99.09,24.92,29.98,21.17,62.73,2.0,312.1,23.13
2000,2,22,0.0,99.11,25.3,30.82,20.38,59.05,2.33,316.1,24.61
2000,2,23,0.01,99.09,26.43,31.34,22.5,63.1,2.62,313.4,21.79
2000,2,24,2.12,99.19,26.5,30.27,23.61,67.03,2.76,312.1,22.75
2000,2,25,1.2,99.15,25.93,29.46,23.53,69.34,2.68,313.2,19.6
2000,2,26,1.0,98.97,26.04,30.31,22.92,71.43,2.62,306.7,15.67
2000,2,27,1.68,98.9,26.94,30.62,23.93,72.9,1.14,318.6,18.72
2000,2,28,0.68,99.07,28.41,33.83,24.66,66.02,1.41,209.1,22.86
2000,2,29,0.32,99.12,29.2,34.98,25.17,59.38,1.29,261.8,24.95
2000,3,1,0.04,99.1,28.83,34.54,25.02,57.23,1.45,246.3,24.86
2000,3,2,0.0,99.15,28.02,34.64,22.32,51.31,1.48,302.7,25.38
2000,3,3,0.0,99.17,28.07,34.77,22.09,53.04,2.09,316.1,24.68
2000,3,4,0.0,99.17,27.99,34.66,22.56,54.24,2.14,314.1,24.69
2000,3,5,0.0,99.08,28.15,34.53,23.18,56.21,2.7,321.7,24.96
2000,3,6,0.0,99.1,27.08,32.22,22.78,62.17,2.59,313.0,24.44
2000,3,7,0.0,99.16,27.05,32.46,22.89,63.44,2.87,322.0,23.43
2000,3,8,0.0,99.17,27.27,32.79,23.01,65.71,2.9,320.5,23.3
2000,3,9,0.0,99.08,27.98,33.82,23.54,63.66,2.68,314.5,23.28
2000,3,10,0.0,99.07,28.14,34.15,23.34,59.06,2.7,316.3,24.62
2000,3,11,0.0,99.12,28.11,34.05,23.21,61.05,2.31,308.7,23.96
2000,3,12,0.0,99.04,28.3,34.56,24.01,62.35,2.22,298.0,24.12
2000,3,13,0.0,99.02,27.78,32.93,23.95,62.67,2.51,312.4,25.39
2000,3,14,0.0,99.06,28.36,34.78,23.45,59.7,2.8,320.3,25.2
